Perfume ID,Name,Brand Name,Collection,Osobine,Gender,year_released,Comments Number,Slug,overall rating,rating count,country_origin,thumbnailUrl,fullSizeUrl,url,Recent Magnitude,season,best_for,main accords,top notes,middle notes,base notes,description,longevity,sillage,price for value,similar perfumes,recommended perfumes,Best_SKU,Best_Title,Best_Vendor,Best_Price,Best_Volume_ML,Best_Unit_Price,Best_Empresa,pricePerML,Occasions
75805,Khamrah,Lattafa,Khamrah,Oriental Spicy,unisex,2022,2095,Lattafa-Perfumes/Khamrah,4.3528,15047.0,United Arab Emirates,https://fimgs.net/mdimg/perfume/m.75805.jpg,https://fimgs.net/mdimg/perfume/375x500.75805.jpg,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-75805.html,59580,Winter,Night,"sweet, warm spicy, vanilla, amber, cinnamon, woody, fresh spicy, fruity","Cinnamon, Nutmeg, Bergamot","Dates, Praline, Tuberose, Mahonial","Vanilla, Tonka Bean, Amberwood, Myrrh, Benzoin, Akigalawood","KhamrahbyLattafa Perfumesis a Oriental Spicy fragrance for women and men. This is a new fragrance.Khamrahwas launched in 2022. Top notes are Cinnamon, Nutmeg and Bergamot; middle notes are Dates, Praline, Tuberose and Mahonial; base notes are Vanilla, Tonka Bean, Amberwood, Myrrh, Benzoin and Akigalawood.",0.7205,0.564,0.8503,"88175, 91883, 92126, 80054, 99800, 92035, 62615, 52802, 92930, 37820, 94015, 69134, 90696, 95180, 37698, 92431, 77450, 82900, 94022, 85010","65414, 81642, 72821, 61856, 52802, 34696, 13016, 62615, 88175, 50757, 30499, 30529, 16657, 40031, 31623, 64948, 68415, 52180, 64947, 72158",1LATKHAMDEO300U,Lattafa khamrah ambiental 300ml,Lattafa,3490.0,300.0,11.6,lodoro,11.6,"Especial, Fiesta, Sexy, Viaje"
52802,Emporio Armani Stronger With You Intensely ,Giorgio Armani,Emporio Armani Stronger With You,Oriental Fougere,male,2019,1050,Giorgio-Armani/Emporio-Armani-Stronger-With-You-Intensely,4.5913,13385.0,Italy,https://fimgs.net/mdimg/perfume/m.52802.jpg,https://fimgs.net/mdimg/perfume/375x500.52802.jpg,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Intensely-52802.html,36914,Winter,Night,"vanilla, sweet, amber, cinnamon, warm spicy, powdery, aromatic, soft spicy, caramel","Pink Pepper, Juniper, Violet","Toffee, Cinnamon, Lavender, Sage","Vanilla, Amber, Tonka Bean, Suede","Emporio Armani Stronger With You IntenselybyGiorgio Armaniis a Oriental Fougere fragrance for men.Emporio Armani Stronger With You Intenselywas launched in 2019. Top notes are Pink Pepper, Juniper and Violet; middle notes are Toffee, Cinnamon, Lavender and Sage; base notes are Vanilla, Amber, Tonka Bean and Suede.",0.7225,0.571,0.5757,"45258, 64501, 66826, 73664, 62480, 63355, 57684, 74546, 75805, 70575, 31623, 79699, 75182, 88175, 76171, 30499, 67489, 37698, 84109, 70428","61856, 81642, 50757, 13016, 30499, 30947, 72158, 16657, 68415, 40031, 52180, 25967, 31861, 39314, 29727, 64501, 5521, 75805, 39029, 31909",1566426785629.0,Giorgio armani stronger with you intensely edp 100 ml (h),Giorgio armani,126990.0,100.0,1269.9,eliteperfumes,1269.9,"Especial, Fiesta, Sexy, Viaje"
50757,Y Eau de Parfum,Yves Saint Laurent,Y for Men,Aromatic Fougere,male,2018,1884,Yves-Saint-Laurent/Y-Eau-de-Parfum,4.3965,18033.0,France,https://fimgs.net/mdimg/perfume/m.50757.jpg,https://fimgs.net/mdimg/perfume/375x500.50757.jpg,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Y-Eau-de-Parfum-50757.html,34883,Spring,Day,"aromatic, woody, fresh spicy, warm spicy, amber, fruity, fresh, citrus, herbal, green","Apple, Ginger, Bergamot","Sage, Juniper Berries, Geranium","Amberwood, Tonka Bean, Cedar, Vetiver, Olibanum","Y Eau de ParfumbyYves Saint Laurentis a Aromatic Fougere fragrance for men.Y Eau de Parfumwas launched in 2018. The nose behind this fragrance is Dominique Ropion. Top notes are Apple, Ginger and Bergamot; middle notes are Sage, Juniper Berries and Geranium; base notes are Amberwood, Tonka Bean, Cedar, Vetiver and Olibanum.",0.6692,0.5005,0.504,"70465, 45956, 64718, 55810, 83061, 79243, 78548, 59731, 73440, 83133, 90024, 60094, 65892, 78611, 78422, 68282, 59431, 75684, 64774, 54323","61856, 40031, 31861, 13016, 29727, 25967, 5521, 30947, 16657, 30499, 2318, 31909, 39029, 68415, 39314, 52802, 59532, 52002, 81642, 34696",3614273898478.0,Yves saint laurent y edp intense 100 ml (h),Yves saint laurent,109990.0,100.0,1099.9,eliteperfumes,1099.9,"Deporte, Oficina, Viaje"
13016,Dior Homme Intense 2011,Dior,Dior Homme,Woody Floral Musk,male,2011,2596,Dior/Dior-Homme-Intense-2011,4.4985,20749.0,France,https://fimgs.net/mdimg/perfume/m.13016.jpg,https://fimgs.net/mdimg/perfume/375x500.13016.jpg,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Intense-2011-13016.html,33985,Winter,Night,"iris, woody, powdery, earthy, violet, aromatic, floral, lavender, musky, fruity",Lavender,"Iris, Ambrette (Musk Mallow), Pear","Virginia Cedar, Vetiver","Dior Homme Intense 2011byDioris a Woody Floral Musk fragrance for men.Dior Homme Intense 2011was launched in 2011. The nose behind this fragrance is François Demachy. Top note is Lavender; middle notes are Iris, Ambrette (Musk Mallow) and Pear; base notes are Virginia Cedar and Vetiver.",0.7152,0.5257,0.4885,"38254, 13015, 71272, 1771, 27417, 19558, 48476, 230, 82472, 75094, 11360, 69010, 94172, 71783, 79048, 84254, 101596, 92126, 62527, 96866","5521, 17, 9828, 31861, 27417, 29727, 9099, 39029, 25967, 2318, 31909, 1825, 228, 14669, 1834, 430, 16657, 61856, 39314, 30499",3CDHOMMEINTEDPH100,Dior homme intense edp 100ml hombre,Dior,115990.0,100.0,1159.9,lodoro,1159.9,"Especial, Fiesta, Sexy, Viaje"
65414,9pm,Afnan,9AM 9PM,Oriental Vanilla,male,2020,1189,Afnan/9pm,4.453,10190.0,United Arab Emirates,https://fimgs.net/mdimg/perfume/m.65414.jpg,https://fimgs.net/mdimg/perfume/375x500.65414.jpg,https://www.fragrantica.com/perfume/Afnan/9pm-65414.html,32430,Winter,Night,"vanilla, amber, warm spicy, fruity, cinnamon, sweet, lavender, powdery, fresh, aromatic","Apple, Cinnamon, Wild Lavender, Bergamot","Orange Blossom, Lily-of-the-Valley","Vanilla, Tonka Bean, Amber, Patchouli","9pmbyAfnanis a Oriental Vanilla fragrance for men.9pmwas launched in 2020. Top notes are Apple, Cinnamon, Wild Lavender and Bergamot; middle notes are Orange Blossom and Lily-of-the-Valley; base notes are Vanilla, Tonka Bean, Amber and Patchouli.",0.699,0.5503,0.8893,"30947, 71868, 43905, 98692, 93647, 46904, 74436, 93499, 78529, 58376, 73024, 83712, 75905, 52033, 52447, 57908, 71708, 39314, 55091, 68101","75805, 81642, 61856, 34696, 72821, 52802, 50757, 40031, 46890, 16657, 52180, 30499, 72158, 913, 13016, 2318, 30947, 68415, 31861, 52002",AFNN14,Afnan 9pm hombre edp 100ml,Afnan,27990.0,100.0,279.9,silkperfumes,279.9,"Especial, Fiesta, Sexy, Viaje"
84951,Devotion,Dolce&Gabbana,Devotion,Oriental Vanilla,female,2023,1083,Dolce-Gabbana/Devotion,4.0244,7094.0,Italy,https://fimgs.net/mdimg/perfume/m.84951.jpg,https://fimgs.net/mdimg/perfume/375x500.84951.jpg,https://www.fragrantica.com/perfume/Dolce-Gabbana/Devotion-84951.html,31731,Autumn,Day,"vanilla, sweet, white floral, powdery, lactonic, rum, citrus",Candied Lemon,"Panacotta, Orange Blossom, Rum",Vanilla,"DevotionbyDolce&Gabbanais a Oriental Vanilla fragrance for women. This is a new fragrance.Devotionwas launched in 2023. The nose behind this fragrance is Olivier Cresp. Top note is Candied Lemon; middle notes are Panacotta, Orange Blossom and Rum; base note is Vanilla.",0.5595,0.3785,0.4315,"81614, 11801, 96028, 62356, 29153, 28050, 81256, 94204, 101951, 17438, 455, 2026, 90477, 20116, 52978, 78336, 51571, 16661, 92880, 69117","83483, 25324, 219, 707, 62615, 56077, 43297, 39681, 14982, 11801, 611, 51694, 31623, 52616, 55786, 485, 51488, 704, 4322, 64757",DOGA107,Dolce & gabbana devotion edp 100 ml,Dolce & gabbana,68990.0,100.0,689.9,silkperfumes,689.9,"Casual, Formal, Oficina, Viaje"
83483,Goddess,Burberry,Goddess,Aromatic,female,2023,1292,Burberry/Goddess,4.2118,7371.0,United Kingdom,https://fimgs.net/mdimg/perfume/m.83483.jpg,https://fimgs.net/mdimg/perfume/375x500.83483.jpg,https://www.fragrantica.com/perfume/Burberry/Goddess-83483.html,31557,Autumn,Day,"vanilla, lavender, warm spicy, cacao","Vanilla, Lavender, Cacao, Ginger",Vanilla Caviar,Vanilla Absolute,"GoddessbyBurberryis a Aromatic fragrance for women. This is a new fragrance.Goddesswas launched in 2023. The nose behind this fragrance is Amandine Clerc-Marie. Top notes are Vanilla, Lavender, Cacao and Ginger; middle note is Vanilla Caviar; base note is Vanilla Absolute.",0.534,0.3411,0.4095,"96768, 43297, 95883, 61038, 96213, 102027, 92693, 101190, 100321, 81642, 413, 94979, 99237, 72677, 25753, 95293, 95405, 4880, 85039, 102608","84951, 25324, 39681, 56077, 51694, 52616, 707, 43297, 219, 55805, 55786, 62615, 14982, 62318, 75668, 611, 56062, 1460, 50384, 31623",01CTYBURGODDEPWS3100,Burberry goddess edp 100 ml + 10 ml + 75 ml set 3 pcs mujer,Burberry,94990.0,100.0,949.9,lodoro,949.9,"Casual, Deporte, Oficina, Viaje"
16657,Eros,Versace,Eros,Aromatic Fougere,male,2012,2498,Versace/Eros,4.0756,23472.0,Italy,https://fimgs.net/mdimg/perfume/m.16657.jpg,https://fimgs.net/mdimg/perfume/375x500.16657.jpg,https://www.fragrantica.com/perfume/Versace/Eros-16657.html,30532,Spring,Night,"vanilla, aromatic, green, fresh spicy, amber, fruity, citrus, sweet, woody, fresh","Mint, Green Apple, Lemon","Tonka Bean, Ambroxan, Geranium","Madagascar Vanilla, Virginian Cedar, Atlas Cedar, Vetiver, Oakmoss","ErosbyVersaceis a Aromatic Fougere fragrance for men.Eroswas launched in 2012. The nose behind this fragrance is Aurélien Guichard. Top notes are Mint, Green Apple and Lemon; middle notes are Tonka Bean, Ambroxan and Geranium; base notes are Madagascar Vanilla, Virginian Cedar, Atlas Cedar, Vetiver and Oakmoss.",0.6328,0.4937,0.5973,"62762, 52180, 70090, 55067, 25044, 48965, 51058, 42054, 89037, 43712, 64718, 41565, 61574, 430, 51631, 36636, 59019, 56533, 36498, 30240","31861, 5521, 40031, 2318, 13016, 30947, 29727, 9828, 430, 9099, 34696, 31909, 50757, 410, 25967, 3747, 17, 644, 61856, 39029",8011003809257.0,Versace versace eros men tester edt 100 ml (h),Versace,44990.0,100.0,449.9,eliteperfumes,449.9,"Fiesta, Sexy, Viaje"
40031,Versace Pour Homme Dylan Blue,Versace,Versace Pour Homme,Aromatic Fougere,male,2016,2206,Versace/Versace-Pour-Homme-Dylan-Blue,4.1637,18336.0,Italy,https://fimgs.net/mdimg/perfume/m.40031.jpg,https://fimgs.net/mdimg/perfume/375x500.40031.jpg,https://www.fragrantica.com/perfume/Versace/Versace-Pour-Homme-Dylan-Blue-40031.html,29311,Spring,Day,"amber, citrus, fresh spicy, musky, aquatic, warm spicy, woody, fresh, aromatic, smoky","Calabrian bergamot, Water Notes, Grapefruit, Fig Leaf","Ambroxan, Black Pepper, Patchouli, Violet Leaf, Papyrus","Incense, Musk, Tonka Bean, Saffron","Versace Pour Homme Dylan BluebyVersaceis a Aromatic Fougere fragrance for men.Versace Pour Homme Dylan Bluewas launched in 2016. The nose behind this fragrance is Alberto Morillas. Top notes are Calabrian bergamot, Water Notes, Grapefruit and Fig Leaf; middle notes are Ambroxan, Black Pepper, Patchouli, Violet Leaf and Papyrus; base notes are Incense, Musk, Tonka Bean and Saffron.",0.596,0.397,0.675,"42856, 31861, 9099, 24788, 50034, 64487, 62360, 46539, 75670, 90451, 40960, 82623, 48100, 67633, 56868, 68662, 82470, 57533, 26416, 25967","16657, 2318, 31861, 29727, 5521, 50757, 31909, 34696, 13016, 30947, 25967, 39029, 61856, 17, 30499, 9828, 644, 52002, 52180, 9099",8011003826568.0,Versace dylan blue tester edt 100 ml (h),Versace,49990.0,100.0,499.9,eliteperfumes,499.9,"Deporte, Especial, Formal, Oficina, Viaje"
34696,Club de Nuit Intense Man,Armaf,Club de Nuit Collection,Woody Spicy,male,2015,3560,Armaf/Club-de-Nuit-Intense-Man,4.1364,19250.0,United Arab Emirates,https://fimgs.net/mdimg/perfume/m.34696.jpg,https://fimgs.net/mdimg/perfume/375x500.34696.jpg,https://www.fragrantica.com/perfume/Armaf/Club-de-Nuit-Intense-Man-34696.html,28766,Spring,Day,"citrus, fruity, leather, smoky, woody, aromatic, sweet, fresh, musky","Lemon, Pineapple, Bergamot, Black Currant, Apple","Birch, Jasmine, Rose","Musk, Ambergris, Patchouli, Vanilla","Club de Nuit Intense ManbyArmafis a Woody Spicy fragrance for men.Club de Nuit Intense Manwas launched in 2015. Top notes are Lemon, Pineapple, Bergamot, Black Currant and Apple; middle notes are Birch, Jasmine and Rose; base notes are Musk, Ambergris, Patchouli and Vanilla.",0.697,0.5616,0.8373,"9828, 52002, 40405, 72842, 50122, 68271, 27352, 30697, 77861, 92647, 45687, 25890, 47001, 52268, 41963, 53368, 44174, 32170, 30930, 26800","31861, 40031, 5521, 29727, 16657, 13016, 2318, 9828, 17, 31909, 50757, 913, 30947, 39029, 25967, 30499, 1834, 507, 61856, 410",6294015102413.0,Armaf club de nuit intense man bodyspray 200 ml (h),Armaf,4990.0,200.0,25.0,eliteperfumes,25.0,"Casual, Especial, Oficina, Viaje"
25324,Black Opium,Yves Saint Laurent,Black Opium,Oriental Vanilla,female,2014,2513,Yves-Saint-Laurent/Black-Opium,3.933,28358.0,France,https://fimgs.net/mdimg/perfume/m.25324.jpg,https://fimgs.net/mdimg/perfume/375x500.25324.jpg,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Black-Opium-25324.html,27806,Winter,Night,"vanilla, coffee, sweet, white floral, warm spicy, soft spicy, woody, fruity, balsamic, powdery","Pear, Pink Pepper, Orange Blossom","Coffee, Jasmine, Bitter Almond, Licorice","Vanilla, Patchouli, Cashmere Wood, Cedar","Black OpiumbyYves Saint Laurentis a Oriental Vanilla fragrance for women.Black Opiumwas launched in 2014. Black Opium was created by Nathalie Lorson, Marie Salamagne, Olivier Cresp and Honorine Blanc. Top notes are Pear, Pink Pepper and Orange Blossom; middle notes are Coffee, Jasmine, Bitter Almond and Licorice; base notes are Vanilla, Patchouli, Cashmere Wood and Cedar.",0.5807,0.442,0.4655,"34503, 37602, 31440, 43680, 51249, 68682, 68506, 36083, 50667, 52924, 37745, 71193, 78427, 12764, 50533, 32247, 58525, 35561, 42056, 40116","14982, 707, 219, 611, 39681, 18453, 1460, 43297, 485, 631, 704, 29157, 1018, 210, 56077, 31666, 8069, 253, 12426, 1733",YSL90,Ysl black opium edp 90ml,Ysl,109990.0,90.0,1222.1,silkperfumes,1222.1,"Especial, Fiesta, Sexy, Viaje"
31861,Sauvage,Dior,Sauvage Collection,Aromatic Fougere,male,2015,3718,Dior/Sauvage,3.8728,26272.0,France,https://fimgs.net/mdimg/perfume/m.31861.jpg,https://fimgs.net/mdimg/perfume/375x500.31861.jpg,https://www.fragrantica.com/perfume/Dior/Sauvage-31861.html,27384,Spring,Day,"fresh spicy, amber, citrus, aromatic, musky, woody, lavender, herbal, warm spicy","Calabrian bergamot, Pepper","Sichuan Pepper, Lavender, Pink Pepper, Vetiver, Patchouli, Geranium, elemi","Ambroxan, Cedar, Labdanum","SauvagebyDioris a Aromatic Fougere fragrance for men.Sauvagewas launched in 2015. The nose behind this fragrance is François Demachy. Top notes are Calabrian bergamot and Pepper; middle notes are Sichuan Pepper, Lavender, Pink Pepper, Vetiver, Patchouli, Geranium and elemi; base notes are Ambroxan, Cedar and Labdanum.",0.6538,0.5144,0.44,"43402, 48100, 43933, 77860, 40031, 50265, 56324, 55166, 53752, 50327, 58312, 40862, 69256, 53342, 64487, 51250, 66525, 93538, 52255, 58226","5521, 16657, 9828, 13016, 29727, 9099, 2318, 40031, 25967, 17, 31909, 34696, 410, 50757, 30947, 39029, 14669, 430, 228, 68415",3CDSAUVAGEDTH200,Dior sauvage edt 200ml hombre,Dior,141990.0,200.0,710.0,lodoro,710.0,"Deporte, Formal, Oficina, Viaje"
68415,Sauvage Elixir,Dior,Sauvage Collection,Aromatic,male,2021,2262,Dior/Sauvage-Elixir,4.3267,13541.0,France,https://fimgs.net/mdimg/perfume/m.68415.jpg,https://fimgs.net/mdimg/perfume/375x500.68415.jpg,https://www.fragrantica.com/perfume/Dior/Sauvage-Elixir-68415.html,27087,Winter,Night,"warm spicy, fresh spicy, woody, aromatic, lavender, soft spicy, cinnamon, amber, powdery, balsamic","Nutmeg, Cinnamon, Cardamom, Grapefruit",Lavender,"Licorice, Sandalwood, Amber, Patchouli, Haitian Vetiver","Sauvage ElixirbyDioris a Aromatic fragrance for men.Sauvage Elixirwas launched in 2021. The nose behind this fragrance is François Demachy. Top notes are Nutmeg, Cinnamon, Cardamom and Grapefruit; middle note is Lavender; base notes are Licorice, Sandalwood, Amber, Patchouli and Haitian Vetiver.",0.872,0.7094,0.344,"72821, 76636, 94166, 84112, 72723, 95177, 84074, 83047, 91884, 2069, 75735, 75366, 53641, 100177, 94993, 89892, 94299, 76244, 100248, 50890","13016, 61856, 31861, 50757, 25967, 30499, 9828, 29727, 39314, 81642, 40031, 5521, 48100, 30947, 17, 50239, 39029, 30529, 31909, 16657",3CDSAUVELIX60,Dior sauvage elixir edp 60 ml hombre,Dior,145990.0,60.0,2433.2,lodoro,2433.2,"Especial, Fiesta, Sexy, Viaje"
52180,Eros Flame,Versace,Eros,Woody Spicy,male,2018,1253,Versace/Eros-Flame,4.3221,12060.0,Italy,https://fimgs.net/mdimg/perfume/m.52180.jpg,https://fimgs.net/mdimg/perfume/375x500.52180.jpg,https://www.fragrantica.com/perfume/Versace/Eros-Flame-52180.html,26866,Autumn,Night,"citrus, vanilla, fresh spicy, aromatic, woody, warm spicy, sweet, powdery","Mandarin Orange, Madagascar Pepper, Lemon, Chinotto, Rosemary","Geranium, Rose, Pepperwood™","Vanilla, Tonka Bean, Sandalwood, Texas Cedar, Patchouli, Oakmoss","Eros FlamebyVersaceis a Woody Spicy fragrance for men.Eros Flamewas launched in 2018. The nose behind this fragrance is Olivier Pescheux. Top notes are Mandarin Orange, Madagascar Pepper, Lemon, Chinotto and Rosemary; middle notes are Geranium, Rose and Pepperwood™; base notes are Vanilla, Tonka Bean, Sandalwood, Texas Cedar, Patchouli and Oakmoss.",0.6795,0.5081,0.6105,"16657, 62762, 66057, 70090, 48965, 94312, 70809, 56633, 55067, 96224, 78107, 2653, 48940, 70988, 6636, 14669, 37496, 6282, 54240, 55449","16657, 40031, 61856, 50757, 81642, 2318, 13016, 30947, 31861, 52802, 30499, 68415, 25967, 5521, 34696, 52002, 31909, 29727, 39029, 59532",8011003845514.0,Versace eros flame tester men edp 100 ml (h),Versace,54990.0,100.0,549.9,eliteperfumes,549.9,"Especial, Fiesta, Sexy, Viaje"
72821,Asad,Lattafa,Asad,Oriental,male,2021,1042,Lattafa-Perfumes/Asad,4.2231,7647.0,United Arab Emirates,https://fimgs.net/mdimg/perfume/m.72821.jpg,https://fimgs.net/mdimg/perfume/375x500.72821.jpg,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Asad-72821.html,25244,Winter,Night,"amber, fresh spicy, vanilla, woody, warm spicy, sweet, tobacco, powdery, patchouli, balsamic","Black Pepper, Tobacco, Pineapple","Patchouli, Coffee, Iris","Vanilla, Amber, Dry Wood, Benzoin, Labdanum","AsadbyLattafa Perfumesis a Oriental fragrance for men.Asadwas launched in 2021. Top notes are Black Pepper, Tobacco and Pineapple; middle notes are Patchouli, Coffee and Iris; base notes are Vanilla, Amber, Dry Wood, Benzoin and Labdanum.",0.6655,0.5051,0.889,"68415, 76636, 95177, 94166, 91884, 84074, 72723, 100177, 50890, 100248, 83047, 94299, 95725, 9778, 98361, 57764, 48100, 96246, 84112, 890","75805, 65414, 34696, 61856, 40031, 81642, 50757, 64948, 13016, 68415, 30499, 16657, 31861, 70465, 52180, 913, 70748, 52802, 2318, 46890",LTTF75,Lattafa asad edp 100ml,Lattafa,23990.0,100.0,239.9,silkperfumes,239.9,"Especial, Fiesta, Sexy, Viaje"
88175,Khamrah Qahwa,Lattafa,Khamrah,Oriental Vanilla,unisex,2023,569,Lattafa-Perfumes/Khamrah-Qahwa,4.4548,4518.0,United Arab Emirates,https://fimgs.net/mdimg/perfume/m.88175.jpg,https://fimgs.net/mdimg/perfume/375x500.88175.jpg,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-Qahwa-88175.html,24804,Winter,Night,"warm spicy, sweet, vanilla, cinnamon, coffee, amber","Cinnamon, Cardamom, Ginger","Praline, Candied Fruits, White Flowers","Vanilla, Coffee, Tonka Bean, Benzoin, Musk","Khamrah QahwabyLattafa Perfumesis a Oriental Vanilla fragrance for women and men. This is a new fragrance.Khamrah Qahwawas launched in 2023. Top notes are Cinnamon, Cardamom and Ginger; middle notes are Praline, Candied Fruits and White Flowers; base notes are Vanilla, Coffee, Tonka Bean, Benzoin and Musk.",0.7425,0.5996,0.8582,"75805, 91883, 94015, 39466, 52802, 92431, 97045, 79100, 99800, 62615, 98581, 40449, 87146, 69134, 69005, 84302, 95138, 46804, 66826, 88119","75805, 81642, 72821, 61856, 65414, 84302, 52802, 13016, 34696, 64947, 62615, 40031, 30499, 64948, 31623, 30529, 50757, 78560, 68415, 52180",1LATKAMRAQAW100U,Lattafa khamrah qahwa edp 100ml unisex,Lattafa,26990.0,100.0,269.9,lodoro,269.9,"Fiesta, Sexy"
73664,The Most Wanted Parfum,Azzaro,Wanted,Woody Spicy,male,2022,570,Azzaro/The-Most-Wanted-Parfum,4.6078,5836.0,France,https://fimgs.net/mdimg/perfume/m.73664.jpg,https://fimgs.net/mdimg/perfume/375x500.73664.jpg,https://www.fragrantica.com/perfume/Azzaro/The-Most-Wanted-Parfum-73664.html,23587,Winter,Night,"vanilla, woody, warm spicy, powdery, sweet",Ginger,Woodsy Notes,Bourbon Vanilla,The Most Wanted ParfumbyAzzarois a Woody Spicy fragrance for men. This is a new fragrance.The Most Wanted Parfumwas launched in 2022. Top note is Ginger; middle note is Woodsy Notes; base note is Bourbon Vanilla.,0.679,0.4568,0.5905,"66826, 45258, 52802, 64501, 49144, 101124, 101016, 75676, 78740, 84109, 82788, 67489, 79432, 58808, 100695, 91044, 84094, 13802, 68756","61856, 81642, 50757, 52802, 30499, 66826, 68415, 40031, 13016, 52180, 72158, 25967, 30947, 39314, 16657, 31909, 59532, 65414, 71272, 75805",01AZZTMWANINTETMUN100,Azzaro the most wanted intense edt 100ml hombre,Azzaro,73000.0,100.0,730.0,lodoro,730.0,"Especial, Fiesta, Sexy, Viaje"
39681,Good Girl,Carolina Herrera,Good Girl,Oriental Floral,female,2016,1755,Carolina-Herrera/Good-Girl,3.9291,19638.0,United States,https://fimgs.net/mdimg/perfume/m.39681.jpg,https://fimgs.net/mdimg/perfume/375x500.39681.jpg,https://www.fragrantica.com/perfume/Carolina-Herrera/Good-Girl-39681.html,23442,Winter,Night,"sweet, white floral, warm spicy, vanilla, amber, cacao, woody, tuberose, almond, powdery","Almond, Coffee, Bergamot, Lemon","Tuberose, Jasmine Sambac, Orange Blossom, Bulgarian Rose, Orris","Tonka Bean, Cacao, Vanilla, Praline, Sandalwood, Musk, Amber, Cashmere Wood, Patchouli, Cinnamon, Cedar","Good GirlbyCarolina Herrerais a Oriental Floral fragrance for women.Good Girlwas launched in 2016. Good Girl was created by Louise Turner and Quentin Bisch. Top notes are Almond, Coffee, Bergamot and Lemon; middle notes are Tuberose, Jasmine Sambac, Orange Blossom, Bulgarian Rose and Orris; base notes are Tonka Bean, Cacao, Vanilla, Praline, Sandalwood, Musk, Amber, Cashmere Wood, Patchouli, Cinnamon and Cedar.",0.6235,0.4791,0.467,"48103, 53193, 54609, 64015, 82793, 50143, 50186, 75969, 51826, 57114, 61769, 58925, 67415, 63601, 56973, 64211, 66267, 59228, 53146, 63420","25324, 14982, 707, 219, 611, 56077, 43297, 485, 31666, 18453, 29157, 631, 1460, 210, 704, 51488, 50384, 253, 35561, 1733",CAHE242,Carolina herrera good girl recargable edp 100ml,Carolina herrera,106990.0,100.0,1069.9,silkperfumes,1069.9,"Especial, Fiesta, Sexy, Viaje"
56077,Libre,Yves Saint Laurent,Libre,Oriental Fougere,female,2019,1702,Yves-Saint-Laurent/Libre,3.9298,16561.0,France,https://fimgs.net/mdimg/perfume/m.56077.jpg,https://fimgs.net/mdimg/perfume/375x500.56077.jpg,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Libre-56077.html,23291,Autumn,Day,"white floral, citrus, lavender, vanilla, aromatic, sweet, powdery, animalic, woody, musky","Lavender, Mandarin Orange, Black Currant, Petitgrain","Lavender, Orange Blossom, Jasmine","Madagascar Vanilla, Musk, Cedar, Ambergris","LibrebyYves Saint Laurentis a Oriental Fougere fragrance for women.Librewas launched in 2019. Libre was created by Anne Flipo and Carlos Benaïm. Top notes are Lavender, Mandarin Orange, Black Currant and Petitgrain; middle notes are Lavender, Orange Blossom and Jasmine; base notes are Madagascar Vanilla, Musk, Cedar and Ambergris.",0.63,0.4855,0.4587,"62318, 69404, 84094, 65936, 67566, 75668, 75676, 83296, 95623, 71223, 81462, 77501, 62658, 59228, 70089, 95881, 92630, 74668, 71574, 79355","25324, 707, 39681, 611, 14982, 43297, 219, 62318, 51488, 485, 631, 210, 18453, 1733, 55795, 62036, 1460, 31666, 33519, 704",1YLLIBREM90,Libre yves saint laurent edp 90 ml mujer,Yves saint laurent,109990.0,90.0,1222.1,lodoro,1222.1,"Especial, Sexy"
76880,Yara,Lattafa,Yara,Oriental Vanilla,female,2020,951,Lattafa-Perfumes/Yara,4.0501,5749.0,United Arab Emirates,https://fimgs.net/mdimg/perfume/m.76880.jpg,https://fimgs.net/mdimg/perfume/375x500.76880.jpg,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Yara-76880.html,22480,Spring,Day,"sweet, vanilla, powdery, tropical, fruity, musky, floral, citrus","Orchid, Heliotrope, Tangerine","Gourmand Accord, Tropical Fruits","Vanilla, Musk, Sandalwood","YarabyLattafa Perfumesis a Oriental Vanilla fragrance for women.Yarawas launched in 2020. Top notes are Orchid, Heliotrope and Tangerine; middle notes are Gourmand Accord and Tropical Fruits; base notes are Vanilla, Musk and Sandalwood.",0.4975,0.3187,0.7985,"51630, 92129, 16437, 84308, 92571, 98578, 46262, 95176, 92074, 18364, 62562, 13710, 82508, 47729, 35653, 56360, 101840, 39443, 98699, 56062","75805, 25324, 39681, 50384, 78560, 707, 56062, 84951, 219, 14982, 83483, 51694, 83320, 56077, 52616, 20139, 975, 600, 55805, 70052",LTTF62,Lattafa yara edp 100ml,Lattafa,20990.0,100.0,209.9,silkperfumes,209.9,"Casual, Formal, Oficina, Viaje"
